source_name,target_page_type,target_route_pattern,what_to_add,data_fields_needed,already_live,gap,priority,risk,stage_recommendation
fbi_crime,/compare/states/[slug],/compare/states/{stateA}-vs-{stateB},Neutral public safety context with no ranking language,"state,offense,year,rate_per_100k,note",yes,Only state aggregate is live; no city/county context,medium,medium,Wave 1 cautious extension
county_health_rankings,/scholarships/[state],/scholarships/{state},Community context availability or aggregated county health indicators,"state,county_fips,measure,value,year",partial,Current output only tracks counties_with_data,high,medium,Wave 1 source reshaping
cdc_svi,future city pages,/locations/{state}/{city},County social vulnerability context with neutral wording,"county_fips,overall_svi_percentile,theme_percentiles,total_population",no,social_vulnerability_context is null in current static output,high,medium,Wave 1 static JSON extension
adi,future city pages,/locations/{state}/{city},Aggregated neighborhood opportunity/social context,"tract_or_county_aggregate,adi_national_rank,adi_state_rank",no,Block-group raw data is too granular for direct display,high,medium,Wave 1 aggregate before display
uscities,future city pages,/locations/{state}/{city},City identity/county/coordinates/population aliases,"city,state,county_fips,lat,lng,population,aliases",yes,Join layer exists but no public city pages,high,low,Wave 2 city clusters
geonames,future city pages,/locations/{state}/{city},Alias/geocode fallback for city route matching,"geonames_id,name,state_code,lat,lng,population,timezone",yes,Not user-visible; useful for city route QA,medium,low,Wave 2 city clusters
zillow_zori,/compare/states/[slug],/compare/states/{stateA}-vs-{stateB},Rent trend supplement where city/metro pages exist,"region_name,region_type,state,latest_month,latest_rent,12mo_change",no,Current site uses HUD point-in-time rent only,medium,medium,Wave 2 after normalization
openalex,/compare/universities/[slug],/compare/universities/{schoolA}-vs-{schoolB},Research activity counts and citations as optional signal,"openalex_id,works_count,cited_by_count,ror_id",partial,Research signal is not normalized into friendly metrics everywhere,high,medium,Wave 1 normalize display
ror,/providers/[id],/providers/{id},Institution identity IDs and official aliases/homepage,"ror_id,display_name,aliases,types,homepage_url",partial,ID is stored in school_enrichment but no provider identity block exists,medium,medium,Wave 1 provider identity
nih_reporter,/compare/universities/[slug],/compare/universities/{schoolA}-vs-{schoolB},Institution research funding aggregate,"institution,project_count,total_awards_by_year,activity_code",no,Huge raw file requires aggregation and institution matching,high,medium,Wave 1 aggregate-only output
propublica_nonprofit,/providers/[id],/providers/{id},Nonprofit identity/filing context for foundations and institutions,"ein,organization_name,revenue,assets,ruling_year,ntee_code,filings_count",no,Provider pages currently hide non-school foundations from external context,high,medium,Wave 1 provider enrichment
usaspending,/providers/[id],/providers/{id},Federal funding context where recipient match is confident,"recipient_name,award_count,obligation_amount,agency,program,fiscal_year",no,Partial THCGME recipient scope only,medium,medium,Wave 1/2 provider funding block
hrsa_hpsa,/resources/[slug],/resources/{slug},Health workforce shortage context for nursing/medical scholarship guides,"discipline,state,county,designation_status,score",no,Not relevant to most general scholarship pages yet,medium,medium,Wave 3 health workforce cluster
va_facility_list,future provider clusters,/providers/cluster/va or future medical provider routes,VA facility identity and location clusters,"facility_name,station_id,city,state,services,lat,lng",no,No medical/provider cluster pages yet,low,medium,Wave 3 future provider clusters
wdoms_us_medical_schools,future medical school pages,/medical-schools/{slug},Medical school profile foundation,"school_name,city,state,school_type,operational_status,qualification_title,affiliation",no,No medical school vertical,medium,medium,Wave 3 medical vertical
aacom_osteopathic_medical_schools,future medical school pages,/medical-schools/do/{slug},DO school directory and scholarship cluster context,"college_name,short_name,address,city,state,website",no,No pre-med/DO scholarship cluster yet,medium,medium,Wave 3 medical vertical
lcme,future medical school pages,/medical-schools/md/{slug},MD accreditation status and survey date,"program_name,city,state,accreditation_status,next_survey_date,initial_year",no,No medical school vertical,medium,medium,Wave 3 medical vertical
coca,future medical school pages,/medical-schools/do/{slug},Osteopathic accreditation status,"institution_name,campus_location,accreditation_status,city,state,website",no,No DO school pages,medium,medium,Wave 3 medical vertical
admit_med_school_stats,future medical school pages,/medical-schools/{slug}/admissions,Admissions stats for pre-med planning,"school_name,applications,interviews,admitted,mcat,gpa,residence_type",no,Admissions stats need careful context and no current vertical,medium,medium,Wave 3 medical vertical
openalex,structured data,JSON-LD on provider/university pages,sameAs/identifier candidates where visible and verified,"openalex_id,ror_id,homepage_url",no,D6 skipped Dataset/DataCatalog and identity IDs are not schema identifiers yet,medium,medium,Wave 1 schema opportunity audit
propublica_nonprofit,structured data,JSON-LD on provider pages,Organization identifier/EIN only when visible on page,"ein,organization_name,filing_url",no,No visible nonprofit block yet so schema is unsupported,medium,medium,After provider UI block exists
