text_found,page_url,locale,section,component_or_selector,bucket,source_file_or_data,priority,requires_db_translation,recommended_fix,user_issue_ref
Countries,https://scholarshiptop.com/es/providers,es,providers,ProvidersHubToolbar dropdown,A,components/providers/ProvidersHubToolbar.tsx,P0,false,Use providersHubUiCopy country filter label,P0-6 provider filter
Search providers,https://scholarshiptop.com/es/providers,es,providers,ProvidersHubToolbar placeholder,A,components/providers/ProvidersHubToolbar.tsx,P0,false,Wire hubUi.searchPlaceholder (exists in hubUiCopy),P0-6 provider filter
Profile enriched,https://scholarshiptop.com/es/providers,es,providers,card badge,A,components/providers/ProvidersHubCard.tsx,P0,false,Localize enriched / not reviewed badges,P0-5 provider cards
Official source available,https://scholarshiptop.com/es/providers,es,providers,card badge,A+B,lib/seo/providerSeoQualityPolicy.ts,P0,false,Localized providerSourceStatusLabel(),P0-5 provider cards
Active Scholarships,https://scholarshiptop.com/es/providers,es,providers,card count badge,A,components/providers/ProvidersHubCard.tsx,P0,false,Pluralized ES/FR count string,P0-5 provider cards
{Provider description},https://scholarshiptop.com/es/providers,es,providers,card snippet,C,DB providers.ai_description,P2,true,content_translations provider summary,P0-5 provider cards
Showing 1–11 of 171,https://scholarshiptop.com/es/compare/universities,es,compare-universities,CompareIndexToolbar result line,A,app/compare/universities/page.tsx (EN reuse),P0,false,Pass locale + getHubToolbarUiCopy to EN subhub page or extract localized wrapper,P0-8 compare universities
Read more →,https://scholarshiptop.com/es/compare/universities,es,compare-universities,CompareCardGrid,A,components/compare/CompareCardGrid.tsx,P0,false,Accept locale; use getHubToolbarUiCopy.readMore,P0-8 compare universities
University vs University,https://scholarshiptop.com/es/compare/universities,es,compare-universities,page h1 + cards,B+C,app/compare/universities/page.tsx,F+P3,true,EnglishZoneNotice covers body; localize kind label; DB titles in P3,P0-8 compare universities
State vs State,https://scholarshiptop.com/es/compare/states,es,compare-states,page h1 + cards,B+C,app/compare/states/page.tsx,F+P3,true,Same as universities,P0-9 compare states
Contenido en inglés,https://scholarshiptop.com/es/compare/universities,es,compare-universities,EnglishZoneNotice,F,components/i18n/EnglishZoneNotice.tsx,P2,false,Intentional until compare DB translated,P0-7 compare hub
Read more →,https://scholarshiptop.com/es/resources,es,resources,static/CMS card grid,A,components/content-hub/ResourcesIndexPageContent.tsx,P0,false,Use getHubToolbarUiCopy(locale).readMore,P0-10 resources hub
Scholarship Application Checklist for Graduate Students…,https://scholarshiptop.com/es/resources,es,resources,static guide card title,C,staticResourceHub / EN CMS posts on hub,P2,true,Translate static pilot cards or hide EN-only cards on ES/FR hub,P0-10 resources hub
Read more →,https://scholarshiptop.com/fr/resources,fr,resources,static guide card,A,components/content-hub/ResourcesIndexPageContent.tsx,P0,false,FR readMore string,P0-10 resources hub
Filters,https://scholarshiptop.com/es/essays,es,essays,EssaysIndexToolbar button,A,components/essays/EssaysIndexToolbar.tsx,P0,false,Use toolbar.filters from getHubToolbarUiCopy,P0-11 essays hub
Categories,https://scholarshiptop.com/es/essays,es,essays,EssaysIndexToolbar button,A,components/essays/EssaysIndexToolbar.tsx,P0,false,Use toolbar.categories,P0-11 essays hub
Showing 1–11 of 11 guides,https://scholarshiptop.com/es/essays,es,essays,EssaysIndexResultSummary,A,components/essays/EssaysIndexResultSummary.tsx,P0,false,Add locale prop + hubUi showingRange,P0-11 essays hub
DB essay cards hidden,https://scholarshiptop.com/es/essays,es,essays,EssaysIndexPageContent grid,F,components/essays/EssaysIndexPageContent.tsx,P2,false,Intentional — long-tail EN only,P0-11 essays hub
Precios/Tarifs nav hidden,https://scholarshiptop.com/es/scholarships,es,nav,Navlinks desktop,A,components/ui/Navbar/Navlinks.tsx,P1,false,Remove locale==='en' guard; link to /es/subscription,P0-12 pricing nav
/es/subscription localized,https://scholarshiptop.com/es/subscription,es,subscription,SubscriptionPageView,E,lib/i18n/subscriptionPageCopy.ts,P2,false,Page ready; show nav,P0-12 pricing nav
/es/scholarships/category/hobbies,https://scholarshiptop.com/es/scholarships/category/hobbies,es,category-pilot,HTTP 404,F,category pilot allowlist,P2,false,Expected 404 — not in pilot,P0 category regression
/es/scholarships/category/stem,https://scholarshiptop.com/es/scholarships/category/stem,es,category-pilot,HTTP 200,E,content_translations category pilot,P2,false,STEM pilot OK,P0 category regression
/en,https://scholarshiptop.com/en,en,global,HTTP 404,F,routing policy,P2,false,Correct — no /en,P0 language switcher
Language switcher /es/compare,https://scholarshiptop.com/es/compare,es,nav,LanguageSwitcher,E,lib/i18n/localizedHref.ts,P2,false,P0 smoke PASS,P0-13 language switcher
/en/essays HTTP 500,https://scholarshiptop.com/essays,en,essays,page error,F,production reliability,P1,false,Investigate EN essays 500 — switcher audit flake,P0-13 language switcher
Find Scholarships not flagged,https://scholarshiptop.com/es/scholarships,es,audit,false negative,F,scripts/i18n-visible-text-audit.ts,P1,false,Expand BLOCKING_ENGLISH + remove nav-only filter exemption,Audit §4
Zone C English scholarship links,https://scholarshiptop.com/es/scholarships,es,links,/scholarships/{slug} without locale,F,isExplicitEnglishOnlyInternalLink,P2,true,Allowed until detail translation — document in UI,P0-4 scholarship cards
IQ assessment promo,https://scholarshiptop.com/es/scholarships,es,hub,HubIqPromoAssessmentCard,E,lib/i18n/hubIqPromoByHub.ts,P2,false,Mostly localized; brand IQ OK,P0 hub
Lemon checkout,https://scholarshiptop.com/es/subscription,es,checkout,external,F,LemonSqueezy,P2,false,Out of scope per policy,P0-12 pricing nav
/essay product links,https://scholarshiptop.com/es/essays,es,links,/essay,F,product route,P2,false,Intentional EN product,P0-11 essays hub
resource CMS /es/resources/{slug},https://scholarshiptop.com/es/resources/test-slug,es,resources,404 until seed,F,resource pilot not seeded,P2,true,404 expected pre-4D seed,P0-10 resources hub
hreflang category STEM,https://scholarshiptop.com/es/scholarships/category/stem,es,seo,metadata,E,lib/i18n/categoryPilot,P2,false,Self-canonical + cluster when published,SEO §7
Compare static guides localized,https://scholarshiptop.com/es/compare/scholarship-vs-grant,es,compare-static,StaticCompareGuidePage,E,lib/i18n/staticCompareHub.ts,P2,false,PASS in production scan,P0-7 compare hub
Essay static guides localized,https://scholarshiptop.com/es/essays/examples,es,essays-static,static essay cards,E,lib/i18n/staticEssayGuideCards.ts,P2,false,PASS — no English guide titles in P0 smoke,P0-11 essays hub
FAQ block English,https://scholarshiptop.com/es/scholarships,es,scholarships,ScholarshipHubCanonicalListingFooter FAQ,C,scholarshipHubCanonicalSeoContent.ts,P2,true,Translate FAQ packs or hide on ES/FR until ready,P0 footer CTA
Essay guides / Providers / Compare (footer card titles),https://scholarshiptop.com/es/scholarships,es,scholarships,footer CTA card titles,A,CONTINUE_SEARCH_BASE_CARDS + SCHOLARSHIP_HUB_RELATED_LINKS,P0,false,Use localized continueSearch.* titles,P0 footer CTA
Scholarship description (listing),https://scholarshiptop.com/fr/scholarships,fr,scholarships,card snippet,C,DB,P2,true,content_translations,P0-4
Provider legal name,https://scholarshiptop.com/fr/providers,fr,providers,card h2,D,DB display_name,P2,false,Keep entity name,P0-5
Compare card title (university battle),https://scholarshiptop.com/es/compare/universities,es,compare-universities,card h3,C,DB compare pages,P3,true,compare_page content_translations pilot,P0-8
Resource article body,https://scholarshiptop.com/es/resources/{slug},es,resources,detail,C,content_posts + translations,P2,true,Stage 4D seed 25×2,P0-10
Scholarship detail page,https://scholarshiptop.com/es/scholarships/{slug},es,detail,full page,C,gateLocalizedScholarshipDetail,P4,true,404 or translate before index,P4
Provider detail page,https://scholarshiptop.com/es/providers/{slug},es,detail,full page,C,provider pages,P4,true,Same as scholarships,P4
