source_type,source_id,source_slug,locale,status,translated_title,translated_meta_title,translated_meta_description,quality_score,source_hash
"resource_article","1f84af28-b44d-47bf-a707-d9283645eee2","how-to-get-recommendation-letters-for-scholarships","es","published","Cómo conseguir cartas de recomendación para becas","Cartas de recomendación para becas: guía completa y práctica","Elige referentes, prepara un brief útil y da plazos realistas para cartas alineadas con cada beca. Verifica requisitos y formato en la página oficial del pro…","90","f84b05a15a14f3aae4aac6c6c60999422256e3e6f2681a14e82bd43220b0b0c2"
"resource_article","1f84af28-b44d-47bf-a707-d9283645eee2","how-to-get-recommendation-letters-for-scholarships","fr","published","Obtenir des lettres de recommandation pour les bourses","Lettres de recommandation pour bourses : guide complet","Choisissez des référents, préparez un brief utile et fixez des délais réalistes alignés sur chaque bourse. Vérifiez format et envoi sur la page officielle.","90","f84b05a15a14f3aae4aac6c6c60999422256e3e6f2681a14e82bd43220b0b0c2"
"resource_article","876a3e47-500a-4f1a-865d-5c39b259da43","four-year-scholarship-plan-college","es","published","Plan de becas de cuatro años para la universidad","Plan de becas de 4 años antes de la universidad en EE. UU.","Organiza becas por curso escolar, plazos y esfuerzo de solicitud. Construye un plan realista sin prometer fondos: verifica cada oportunidad en fuentes oficia…","90","6b17b49070a19ba45f8ad9f260bc62bcb9a358fe07d1f3cd353261251b98cbee"
"resource_article","876a3e47-500a-4f1a-865d-5c39b259da43","four-year-scholarship-plan-college","fr","published","Plan bourses sur quatre ans avant l’université","Plan bourses sur quatre ans avant l’université aux USA","Organisez les bourses par année scolaire, dates et effort de dossier. Plan réaliste sans promesse de fonds : vérifiez chaque offre sur les sources officielles.","90","6b17b49070a19ba45f8ad9f260bc62bcb9a358fe07d1f3cd353261251b98cbee"
"resource_article","aefdb002-69ce-42bc-b0e7-b6a4b50095f1","track-scholarship-deadlines-usa","es","published","Cómo hacer seguimiento de plazos de becas en EE. UU.","Seguimiento de plazos de becas en EE. UU.: método organizado","Calendario, recordatorios y verificación de fechas oficiales para no perder becas por error de zona horaria o portal. Sin prometer resultados.","90","738d0d1bceddee2f70fe2d969788868bc76e2c3f3e712d9b02af7fbc8a8cddbb"
"resource_article","aefdb002-69ce-42bc-b0e7-b6a4b50095f1","track-scholarship-deadlines-usa","fr","published","Suivre les dates limites de bourses aux États-Unis","Suivre les dates limites de bourses aux États-Unis : méthode","Calendrier, rappels et vérification des dates officielles pour éviter les erreurs de fuseau ou de portail. Sans promesse de résultats. Info útil.","90","738d0d1bceddee2f70fe2d969788868bc76e2c3f3e712d9b02af7fbc8a8cddbb"
"resource_article","cff1698f-e874-4add-9b1b-9a7909a7d90b","best-scholarship-tracker-templates-students","es","published","Mejores plantillas para seguir becas como estudiante","Plantillas de seguimiento de becas: guía para estudiantes","Compara columnas útiles en hojas de cálculo, Notion o papel: plazos, requisitos, estado y enlaces oficiales. Organiza sin prometer becas. Info útil.","90","4747d7ea24c75d58141fcda4597827653dd9b3677b6da2aa293536c6c67ebb0b"
"resource_article","cff1698f-e874-4add-9b1b-9a7909a7d90b","best-scholarship-tracker-templates-students","fr","published","Meilleurs modèles de suivi de bourses pour étudiants","Modèles de suivi de bourses : comparatif pratique étudiants","Colonnes utiles en tableur, Notion ou papier : dates, critères, statut et liens officiels. Organisez sans promettre d’attribution. Info útil.","90","4747d7ea24c75d58141fcda4597827653dd9b3677b6da2aa293536c6c67ebb0b"
"resource_article","543cda3d-3bb0-486e-8a33-d220708e34f5","verify-scholarship-emails-usa","es","published","Cómo verificar correos de becas en EE. UU. antes de responder","Verificar correos de becas en EE. UU. antes de responder","Revisa remitente, dominio, enlaces y tono antes de compartir datos. Pasos para confirmar mensajes reales en la página oficial del proveedor.","90","9e83d3adbe0f4fc109731ef29aea1772757d4683a272d0de9182771f4d60c26d"
"resource_article","543cda3d-3bb0-486e-8a33-d220708e34f5","verify-scholarship-emails-usa","fr","published","Vérifier les e-mails de bourse aux États-Unis avant de répondre","Vérifier les e-mails de bourse aux États-Unis avant réponse","Examinez expéditeur, domaine, liens et ton avant de partager des données. Confirmez les messages réels sur la page officielle du financeur. Info útil.","90","9e83d3adbe0f4fc109731ef29aea1772757d4683a272d0de9182771f4d60c26d"
"resource_article","549861b4-57d9-4189-9f51-5ebc421becb8","trustworthy-scholarship-review-online","es","published","Qué hace confiable una reseña de becas en línea","Reseñas de becas en línea: cómo saber si son confiables","Señales de transparencia, fuentes citadas y límites claros en reseñas de becas. Aprende a contrastar con páginas oficiales sin creer promesas vagas.","90","f7a3d2ea29b0da7ca76e12a1d559ef6f49ba8c78d447ffcdb39f1457292f1cbf"
"resource_article","549861b4-57d9-4189-9f51-5ebc421becb8","trustworthy-scholarship-review-online","fr","published","Ce qui rend un avis sur les bourses fiable en ligne","Avis sur les bourses en ligne : comment juger leur fiabilité","Transparence, sources citées et limites claires dans les avis sur les bourses. Recoupez avec les pages officielles sans croire aux promesses vagues.","90","f7a3d2ea29b0da7ca76e12a1d559ef6f49ba8c78d447ffcdb39f1457292f1cbf"
"resource_article","f6f71fff-08d9-4f5b-981e-c1ec4ee92dd0","scholarship-faq-low-gpa-students","es","published","FAQ de becas para estudiantes con GPA bajo","Becas con GPA bajo: preguntas frecuentes y opciones reales","Opciones realistas, becas por mérito alternativo y errores a evitar si tu GPA no es alto. Verifica requisitos en cada proveedor oficial. Info útil.","90","3836453ce13fd5c525e68498f0c7e04801eb8f581bcea97b318ebd25c3d09157"
"resource_article","f6f71fff-08d9-4f5b-981e-c1ec4ee92dd0","scholarship-faq-low-gpa-students","fr","published","FAQ bourses pour étudiants avec GPA faible","Bourses avec GPA faible : FAQ et options réalistes","Options réalistes, critères alternatifs et erreurs à éviter si votre GPA n’est pas élevé. Vérifiez les exigences sur chaque page officielle.","90","3836453ce13fd5c525e68498f0c7e04801eb8f581bcea97b318ebd25c3d09157"
"resource_article","b7dc3f7c-e1a1-4346-b646-7760574bc22d","scholarship-faq-comparing-multiple-offers","es","published","FAQ para comparar varias ofertas de becas","Comparar varias ofertas de becas: preguntas que debes hacer","Montos, renovación, restricciones y plazos al elegir entre becas. Compara con documentos oficiales, no solo con titulares de marketing. Info útil.","90","bbaed4ae6a9db1dcf69616ab86c7a4d7e2bdf21434d9fca30c1c0e6eabee7a85"
"resource_article","b7dc3f7c-e1a1-4346-b646-7760574bc22d","scholarship-faq-comparing-multiple-offers","fr","published","FAQ pour comparer plusieurs offres de bourses","Comparer plusieurs offres de bourses : questions clés","Montants, renouvellement, restrictions et dates pour choisir entre bourses. Comparez les documents officiels, pas seulement les titres marketing.","90","bbaed4ae6a9db1dcf69616ab86c7a4d7e2bdf21434d9fca30c1c0e6eabee7a85"
"resource_article","c1d7aab1-2832-46d7-b9c5-bfabbf019e4f","scholarship-faq-no-recommendation-letters","es","published","FAQ de becas sin cartas de recomendación","Becas sin cartas de recomendación: preguntas frecuentes","Programas que no exigen cartas, alternativas como referencias laborales y cómo compensar con ensayo fuerte. Verifica requisitos oficiales. Info útil.","90","62dccab6356cf92fb449d898053231e0d60fb396b9925fd31f7f367c91a28bfa"
"resource_article","c1d7aab1-2832-46d7-b9c5-bfabbf019e4f","scholarship-faq-no-recommendation-letters","fr","published","FAQ bourses sans lettre de recommandation","Bourses sans lettre de recommandation : FAQ utiles","Programmes sans lettre, références professionnelles et compensation par un essai solide. Vérifiez les pièces sur la page officielle. Info útil.","90","62dccab6356cf92fb449d898053231e0d60fb396b9925fd31f7f367c91a28bfa"
"resource_article","8559e251-838e-4cfa-bab5-ad6ca27472da","scholarship-faq-applying-late","es","published","FAQ para solicitar becas tarde","Solicitar becas tarde: qué hacer ahora, preguntas frecuentes","Qué hacer si perdiste plazos, becas con ventanas tardías y cómo priorizar sin errores. Confirma fechas en fuentes oficiales, no en rumores. Info útil.","90","801ea3b7f85e9a39c2403af2a346899cb0f914b7a9db8362e1ec2b94238d8a76"
"resource_article","8559e251-838e-4cfa-bab5-ad6ca27472da","scholarship-faq-applying-late","fr","published","FAQ candidater tard aux bourses","Candidater tard aux bourses : que faire maintenant (FAQ)","Que faire après une date manquée, bourses à fenêtres tardives et priorités sans erreurs. Confirmez les dates sur sources officielles. Info útil.","90","801ea3b7f85e9a39c2403af2a346899cb0f914b7a9db8362e1ec2b94238d8a76"
"resource_article","f95c74cf-bf69-4f9f-a39b-d61488c90d43","organize-scholarship-applications-by-difficulty","es","published","Organizar solicitudes de becas por nivel de dificultad","Organizar becas por dificultad: método práctico estudiantes","Clasifica becas por esfuerzo, elegibilidad y plazo para equilibrar victorias rápidas y solicitudes exigentes. Sin prometer resultados. Info útil.","90","f3b3cef140c1269de584676bf0f3a247b0b5263d8cc898abceadb63bc1b57675"
"resource_article","f95c74cf-bf69-4f9f-a39b-d61488c90d43","organize-scholarship-applications-by-difficulty","fr","published","Organiser les candidatures par niveau de difficulté","Organiser les bourses par difficulté : méthode étudiants","Classez les bourses par effort, éligibilité et date pour équilibrer gains rapides et dossiers exigeants. Sans promesse de résultats. Info útil.","90","f3b3cef140c1269de584676bf0f3a247b0b5263d8cc898abceadb63bc1b57675"
"resource_article","19a0babc-7b31-4d86-843a-e0767a5a0051","organize-scholarship-applications-notion","es","published","Cómo organizar solicitudes de becas en Notion","Organizar solicitudes de becas en Notion: guía estudiantes","Bases de datos, vistas por plazo y plantillas de checklist en Notion para becas. Mantén enlaces oficiales y fechas verificadas del proveedor.","90","e524fa9d465fb772e66c032b1f634a4c075c9e9a88802f15c76a6742546c783c"
"resource_article","19a0babc-7b31-4d86-843a-e0767a5a0051","organize-scholarship-applications-notion","fr","published","Organiser ses candidatures bourses dans Notion","Organiser ses candidatures bourses dans Notion : guide","Bases, vues par date et checklists Notion pour les bourses. Gardez liens officiels et dates vérifiées du financeur. Info útil. Info útil. Info útil.","90","e524fa9d465fb772e66c032b1f634a4c075c9e9a88802f15c76a6742546c783c"
"resource_article","394282e4-bf76-4b43-b77f-e5ebdb777b56","how-to-track-scholarships-international-students","es","published","Herramientas para seguir becas como estudiante internacional","Seguimiento de becas para estudiantes internacionales EE.UU.","Calendario, requisitos de visa y enlaces oficiales al organizar becas en EE. UU. desde el extranjero. Sin prometer admisión ni fondos. Info útil.","90","1c682ee4380780cb8cca49686558c6e1511df995e376edb4b3c2a0818c3185d7"
"resource_article","394282e4-bf76-4b43-b77f-e5ebdb777b56","how-to-track-scholarships-international-students","fr","published","Outils pour suivre les bourses en tant qu’étudiant international","Suivi des bourses pour étudiants internationaux (États-Unis)","Calendrier, visa et liens officiels pour organiser des bourses aux États-Unis depuis l’étranger. Sans promesse d’admission ni de fonds. Info útil.","90","1c682ee4380780cb8cca49686558c6e1511df995e376edb4b3c2a0818c3185d7"
"resource_article","b05aa2bf-24e6-42f7-b913-6e1c1d956686","how-to-find-scholarships-for-international-students","es","published","Guía para encontrar becas para estudiantes internacionales","Encontrar becas para estudiantes internacionales en EE. UU.","Fuentes oficiales, filtros de elegibilidad y señales de confianza al buscar becas en EE. UU. desde el extranjero. Verifica cada programa directamente.","90","5b88c95b7bf0a32a47253645e613d2e14fbe3cb76c2a61762d619958e1dc65a3"
"resource_article","b05aa2bf-24e6-42f7-b913-6e1c1d956686","how-to-find-scholarships-for-international-students","fr","published","Trouver des bourses pour étudiants internationaux","Trouver des bourses pour étudiants internationaux — USA","Sources officielles, filtres d’éligibilité et signaux de confiance pour chercher des bourses aux États-Unis depuis l’étranger. Info útil. Info útil.","90","5b88c95b7bf0a32a47253645e613d2e14fbe3cb76c2a61762d619958e1dc65a3"
"resource_article","148a6205-e52d-4b67-b864-cf41323ed07f","how-to-write-scholarship-essay-as-international-student","es","published","Redactar un ensayo de beca como estudiante internacional","Ensayo de beca como estudiante internacional: consejos clave","Contexto cultural, claridad en inglés y ejemplos concretos sin exagerar. Alinea tu historia con la consigna y verifica requisitos oficiales.","90","bbf1e30a31a76a8901c1f9e0da3a80955456ed67b8d96e0fab641c781a1aff71"
"resource_article","148a6205-e52d-4b67-b864-cf41323ed07f","how-to-write-scholarship-essay-as-international-student","fr","published","Rédiger un essai de bourse en tant qu’étudiant international","Essai de bourse en tant qu’étudiant international : conseils","Contexte culturel, clarté en anglais et exemples concrets sans exagération. Alignez votre récit sur la consigne et les exigences officielles.","90","bbf1e30a31a76a8901c1f9e0da3a80955456ed67b8d96e0fab641c781a1aff71"
"resource_article","7c5cf05c-c4ae-47fa-8d9c-1ee7940fc862","how-to-get-full-scholarship-usa","es","published","Cómo aspirar a una beca completa en EE. UU.","Beca completa en EE. UU.: guía realista para estudiantes","Qué suele significar “beca completa”, quién califica y cómo preparar perfil y solicitudes sin promesas. Verifica definiciones en cada proveedor.","90","812e2a35cafb7b5455d4a4eabc770dc7c7b42dd1d81ef22766f65de4c9b538ef"
"resource_article","7c5cf05c-c4ae-47fa-8d9c-1ee7940fc862","how-to-get-full-scholarship-usa","fr","published","Viser une bourse complète aux États-Unis","Bourse complète aux États-Unis : guide réaliste étudiants","Ce que signifie souvent « bourse complète », profils compétitifs et préparation sans promesses. Vérifiez la définition sur chaque page officielle.","90","812e2a35cafb7b5455d4a4eabc770dc7c7b42dd1d81ef22766f65de4c9b538ef"
"resource_article","7619489b-3449-49e4-a25f-0a1991116162","graduate-scholarship-application-checklist","es","published","Lista de verificación para becas de posgrado","Checklist de becas de posgrado: qué preparar y cuándo","CV académico, ensayo, cartas, transcripciones y plazos para becas de maestría o doctorado. Revisa requisitos en cada proveedor oficial. Info útil.","90","72a82425ab354424f5b41871d416807b08a576e94f6ccc4a92cea516284beeb8"
"resource_article","7619489b-3449-49e4-a25f-0a1991116162","graduate-scholarship-application-checklist","fr","published","Checklist de candidature bourse pour le supérieur","Checklist bourses master et doctorat : quoi préparer","CV académique, essai, lettres, relevés et dates pour bourses de master ou doctorat. Vérifiez chaque exigence sur la page officielle. Info útil.","90","72a82425ab354424f5b41871d416807b08a576e94f6ccc4a92cea516284beeb8"
"resource_article","6b1e5401-1a6e-4f4f-9f9c-35dc853d82cf","verify-scholarship-eligibility-usa","es","published","Cómo verificar elegibilidad de becas en EE. UU.","Verificar elegibilidad de becas en EE. UU. sin foros","Lee criterios oficiales, evita foros contradictorios y documenta dudas con el proveedor. Pasos claros sin garantizar admisión ni premio. Info útil.","90","9b5dc2d06bbe22a7475f01870f939a936f6f45adadcb69af059a4522634af5cf"
"resource_article","6b1e5401-1a6e-4f4f-9f9c-35dc853d82cf","verify-scholarship-eligibility-usa","fr","published","Vérifier l’éligibilité aux bourses aux États-Unis","Vérifier l’éligibilité aux bourses aux États-Unis sans forum","Lisez critères officiels, évitez forums contradictoires et documentez vos doutes avec le financeur. Étapes claires sans garantie d’attribution.","90","9b5dc2d06bbe22a7475f01870f939a936f6f45adadcb69af059a4522634af5cf"
"resource_article","e3e2ab04-99c9-4007-82c6-20a9f06b4071","scholarship-faq-school-students-applying-early","es","published","FAQ de becas para estudiantes que aplican temprano","Becas para quienes aplican temprano: preguntas frecuentes","Ventanas tempranas, ventajas reales y mitos para estudiantes de secundaria que empiezan antes. Confirma fechas y reglas en cada proveedor. Info útil.","90","195eeeeeb130cc36e4c5ff2696ef4fa93f06712544d504fd795287c0723faf15"
"resource_article","e3e2ab04-99c9-4007-82c6-20a9f06b4071","scholarship-faq-school-students-applying-early","fr","published","FAQ bourses pour lycéens qui candidatent tôt","Bourses en candidature anticipée : questions fréquentes","Fenêtres précoces, avantages réels et mythes pour lycéens qui commencent tôt. Confirmez dates et règles sur chaque page officielle. Info útil.","90","195eeeeeb130cc36e4c5ff2696ef4fa93f06712544d504fd795287c0723faf15"
"resource_article","73c264b2-3c2c-496f-9314-0d953b961a2b","scholarship-faq-parents-worried-scams","es","published","FAQ para padres preocupados por estafas de becas","Padres y estafas de becas: preguntas frecuentes de seguridad","Señales de alerta, conversación con hijos y verificación de proveedores cuando temes estafas. Pasos prácticos sin prometer becas ni resultados.","90","0839baec952e9bff0e8d429094e4019cd05547169474ca3f1aefd61f58420bbc"
"resource_article","73c264b2-3c2c-496f-9314-0d953b961a2b","scholarship-faq-parents-worried-scams","fr","published","FAQ parents inquiets des arnaques aux bourses","Parents et arnaques aux bourses : FAQ sécurité et confiance","Signaux d’alerte, dialogue avec l’enfant et vérification des financeurs. Étapes pratiques sans promesse de bourse ni de résultat. Info útil.","90","0839baec952e9bff0e8d429094e4019cd05547169474ca3f1aefd61f58420bbc"
