route,file,route_type,route_type_label,english_status,es_route_exists,fr_route_exists,same_production_template,translated_visible_ui,language_switcher,localized_links,index_noindex,in_sitemap,hreflang,db_backed,risk_level,recommended_action
/providers,app/providers/page.tsx + localized pilot,A,Public SEO hub,live,true,true,yes (ProvidersIndexPageContent),full (pilot static),yes,partial (Zone C profile links),index,"locale-es-*, locale-fr-* pilot buckets","en, en, es, fr, x-default",true,medium,Stage 3B provider search chrome; Stage 4 profiles
/providers/[id],app/providers/[id]/page.tsx,B,Public SEO DB-backed,live,false,false,EN only,EN body; partial hub chrome on ES/FR hubs only,no,EN only,"index (EN, quality-gated)",EN sitemap buckets only,EN only,true,high,Stage 4 DB translation pilot
/compare,app/compare/page.tsx + localized pilot,A,Public SEO hub,live,true,true,yes (CompareIndexPageContent),full (pilot static),yes,yes (static guides),index,"locale-es-*, locale-fr-* pilot buckets","en, en, es, fr, x-default",true,low,maintain; DB list hidden on ES/FR
/compare/{static-guide-slugs},app/compare/[slug]/page.tsx + staticTranslations,A,Public SEO static guide,live,false,false,yes,EN only,yes,yes,index,n/a,none,false,none,maintain
"/compare/states/*, /compare/universities/*","app/compare/states/**, app/compare/universities/**",B,Public SEO DB-backed,live,false,false,EN only,EN body; partial hub chrome on ES/FR hubs only,no,EN only,index/noindex (quality-gated),EN sitemap buckets only,EN only,true,high,Stage 4 DB translation pilot
/resources,app/resources/page.tsx + localized pilot,A,Public SEO hub,live,true,true,yes (ResourcesIndexPageContent),full (pilot static),yes,yes (static guides),index,"locale-es-*, locale-fr-* pilot buckets","en, en, es, fr, x-default",true,medium,Stage 3A optional static-guide filter UI
/resources/{static-guide-slugs},app/resources/** + staticTranslations,A,Public SEO static guide,live,false,false,yes,EN only,yes,yes,index,n/a,none,false,none,maintain
/resources/[slug] (DB CMS),app/resources/[slug]/page.tsx,B,Public SEO DB-backed,live,false,false,EN only,EN body; partial hub chrome on ES/FR hubs only,no,EN only,index (EN),EN sitemap buckets only,EN only,true,high,Stage 4 DB translation pilot
"/terms, /privacy-policy, /refund-policy, /help, /faq","app/{terms,privacy-policy,...}/page.tsx + LegalDocumentPage",A,Public SEO legal/help,live,false,false,yes,EN only,yes,yes,index,n/a,none,false,none,maintain
"/international-students, /for-organizations, /submit-grant",app/*/page.tsx + LocalizedMarketingPage,A,Public SEO marketing,live,false,false,yes,EN only,yes,yes,index,n/a,none,false,low,maintain
/trust pages (9),app/*/page.tsx + trustPageContent.ts,A,Public SEO trust,live,false,false,yes,full,yes,yes,index,n/a,none,false,none,maintain
/get-scholarships,app/get-scholarships/page.tsx + app/[locale]/get-scholarships/page.tsx,C,Public funnel,live,true,true,yes (GetScholarshipsQuizWizard),full (funnelUiCopy/authUiCopy),no,yes,"noindex,follow",excluded,none (noindex funnel),false,medium,maintain; verify locale after quiz redirect
"/signin, /signin/[id]",app/signin/** + app/[locale]/signin/**,C,Public funnel auth,live,true,true,yes (auth forms + authUiCopy),full (funnelUiCopy/authUiCopy),no,yes,"noindex,follow",excluded,none (noindex funnel),false,medium,maintain; auth callbacks stay EN
/subscription,app/subscription/page.tsx + app/[locale]/subscription/page.tsx,C,Public funnel pricing,live,true,true,yes (SubscriptionPageView),full (UI copy only),yes,yes,index (default),not in sitemap (unchanged),"en, es, fr, x-default",true,medium,maintain; payment logic unchanged
/subscription/success,app/subscription/success/page.tsx,C,Billing post-checkout,live,false,false,EN only,n/a,no,EN only,noindex,n/a,none,false,high,defer; Lemon redirect target
/signup,app/signup/page.tsx,C,Redirect → /onboarding,redirect,false,false,n/a,n/a,no,EN only,n/a,n/a,none,false,low,Stage 3M onboarding locale (future)
/onboarding,app/onboarding/page.tsx,C,Private signup wizard,live,false,false,partial funnelUiCopy,n/a,no,EN only,noindex,n/a,none,true,high,Stage 3M account funnel
"/essay, /essay/[id]",app/essay/**,C,Paid product,live,false,false,EN only,n/a,no,Zone C allowed,index/noindex mixed,n/a,none,true,high,defer product localization
/iq/*,app/iq/**,C,Sub-brand product,live,false,false,EN only (iq subdomain),n/a,no,Zone C allowed,index (iq subdomain),n/a,none,true,low,separate product; not Stage 2
/tools/*,app/tools/**,A,Public SEO static,live,false,false,EN only,EN only,no,EN only,index,n/a,none,false,low,P2 optional static translation
"/account, /account/saved-scholarships",app/account/**,D,Private account,live,false,false,EN only,n/a,no,EN only,noindex,n/a,none,true,high,Stage 3M account UI
/dashboard,app/dashboard/page.tsx,D,Private legacy,live,false,false,EN only,n/a,no,EN only,noindex,n/a,none,false,medium,dedupe with /account
/essays/u/[id],app/essays/u/[id]/page.tsx,D,Private essay workspace,live,false,false,EN only,n/a,no,EN only,noindex,n/a,none,true,high,defer
/auth/reset_password,app/auth/reset_password/page.tsx,C,Auth deep-link,live,false,false,EN only,n/a,no,EN only,noindex,n/a,none,false,medium,UI-only ES/FR optional; email links EN
/api/**,app/api/**,E,API/internal,live,false,false,n/a,n/a,n/a,n/a,disallow robots,n/a,none,true,high,no localization
"/sitemap.xml, /sitemaps/[slug].xml","app/sitemap.xml/route.ts, lib/seo/sitemaps.ts",E,SEO infrastructure,live,false,false,n/a,n/a,n/a,n/a,n/a,n/a,none,true,medium,monitor EN buckets unchanged
