"id","surface","file_path","string_key","en_text","category","translation_method","in_scope_v1","notes"
"iq-q-AR02","Question bank","lib/cognitiveAssessmentQuestions.ts","AR02.prompt","Which option completes the matrix?","question_bank","localized_question_bank","yes","options: A: 3 dots with top border | B: 2 dots with bottom border | C: 3 dots with bottom border | D: 1 dot with right border"
"iq-q-AR02-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","AR02.visual","Dots and border matrix / Combine the dot-count rule with the border-position rule.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-AR02-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","AR02.explanation","Dot count rises from 1 to 3 across each row, while the border line shifts by column.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-NL02","Question bank","lib/cognitiveAssessmentQuestions.ts","NL02.prompt","A score uses 2 x red + blue. If red = 7 and blue = 5, what is the score?","question_bank","localized_question_bank","yes","options: A: 17 | B: 18 | C: 19 | D: 24"
"iq-q-NL02-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","NL02.explanation","Apply the rule directly: 2 x 7 + 5 = 19.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-SP02","Question bank","lib/cognitiveAssessmentQuestions.ts","SP02.prompt","Which net folds into the target cube?","question_bank","localized_question_bank","yes","options: A: Marked faces become opposite | B: One marked face overlaps | C: Marked faces stay adjacent | D: The net leaves a gap"
"iq-q-SP02-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","SP02.visual","Cube net check / Fold the net mentally and track the marked faces.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-SP02-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","SP02.explanation","Only one net keeps the marked faces adjacent in the same relationship as the target cube.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-VR02","Question bank","lib/cognitiveAssessmentQuestions.ts","VR02.prompt","Page is to book as frame is to ___.","question_bank","localized_question_bank","yes","options: A: picture | B: museum | C: glass | D: artist"
"iq-q-VR02-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","VR02.explanation","A page is part of a book, just as a frame surrounds and belongs with a picture.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-DS02","Question bank","lib/cognitiveAssessmentQuestions.ts","DS02.prompt","Budget 8. P costs 3 gives 5 pts; Q costs 5 gives 8; R costs 8 gives 11. Best choice?","question_bank","localized_question_bank","yes","options: A: P + Q | B: R only | C: P only | D: Q only"
"iq-q-DS02-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","DS02.explanation","P + Q costs 8 and gives 13 points, which beats every single-pack option.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-AR03","Question bank","lib/cognitiveAssessmentQuestions.ts","AR03.prompt","Which option completes the matrix?","question_bank","localized_question_bank","yes","options: A: Square with 3 stripes | B: Pentagon with 2 stripes | C: Triangle with 3 stripes | D: Pentagon with 3 stripes"
"iq-q-AR03-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","AR03.visual","Shape complexity matrix / Track shape sides horizontally and stripe count vertically.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-AR03-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","AR03.explanation","Shape complexity changes across the row, and stripe count changes down the column.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-NL03","Question bank","lib/cognitiveAssessmentQuestions.ts","NL03.prompt","Find the next number: 3, 9, 8, 24, 23, 69, ?","question_bank","localized_question_bank","yes","options: A: 66 | B: 67 | C: 68 | D: 70"
"iq-q-NL03-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","NL03.explanation","The pattern repeats: multiply by 3, then subtract 1.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-SP03","Question bank","lib/cognitiveAssessmentQuestions.ts","SP03.prompt","Which option is the exact mirror image?","question_bank","localized_question_bank","yes","options: A: Unchanged copy | B: Rotation | C: Mirror with wrong notch | D: True mirror image"
"iq-q-SP03-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","SP03.visual","Mirror transform / Flip across the vertical line without rotating the shape.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-SP03-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","SP03.explanation","A mirror flips handedness but does not rotate the figure.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-VR03","Question bank","lib/cognitiveAssessmentQuestions.ts","VR03.prompt","No sapes are rooks. All rooks are nals. Which must be true?","question_bank","localized_question_bank","yes","options: A: Some nals are sapes. | B: No rooks are sapes. | C: All nals are rooks. | D: Some rooks are sapes."
"iq-q-VR03-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","VR03.explanation","If no sapes are rooks, then equally no rooks are sapes.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-DS03","Question bank","lib/cognitiveAssessmentQuestions.ts","DS03.prompt","Truck limit 10. A = 6 kg/9 pts, B = 4 kg/6 pts, C = 5 kg/8 pts. Best load?","question_bank","localized_question_bank","yes","options: A: A + B | B: A + C | C: B + C | D: C only"
"iq-q-DS03-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","DS03.explanation","A + B hits the limit exactly and gives 15 points, which is higher than B + C with 14.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-AR04","Question bank","lib/cognitiveAssessmentQuestions.ts","AR04.prompt","Which option completes the matrix?","question_bank","localized_question_bank","yes","options: A: Wrong rotation, correct dot | B: Correct rotation and bottom-right dot | C: Mirrored symbol | D: Correct rotation, wrong dot"
"iq-q-AR04-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","AR04.visual","Symbol and corner-dot matrix / Two rules operate at once: rotation and dot movement.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-AR04-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","AR04.explanation","The symbol rotates through the row, while the corner dot moves clockwise down the column.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-NL04","Question bank","lib/cognitiveAssessmentQuestions.ts","NL04.prompt","Rank = 3A + 2B. If rank = 22 and A = 4, what is B?","question_bank","localized_question_bank","yes","options: A: 3 | B: 4 | C: 5 | D: 6"
"iq-q-NL04-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","NL04.explanation","22 = 3 x 4 + 2B, so 22 = 12 + 2B and B = 5.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-SP04","Question bank","lib/cognitiveAssessmentQuestions.ts","SP04.prompt","Which top view matches the block stack?","question_bank","localized_question_bank","yes","options: A: L-shaped footprint | B: Straight three-cell footprint | C: Square footprint | D: T-shaped footprint"
"iq-q-SP04-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","SP04.visual","Block-stack top view / Ignore height and keep only occupied floor positions.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-SP04-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","SP04.explanation","The top view shows the footprint only, not the front silhouette.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-VR04","Question bank","lib/cognitiveAssessmentQuestions.ts","VR04.prompt","If Mira is early, Jon is ready. If Jon is ready, the gate opens. Mira is early. What follows?","question_bank","localized_question_bank","yes","options: A: Jon is late. | B: The gate opens. | C: Mira is ready. | D: Nothing follows."
"iq-q-VR04-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","VR04.explanation","Use the chain step by step: Mira early leads to Jon ready, and Jon ready leads to the gate opening.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-DS04","Question bank","lib/cognitiveAssessmentQuestions.ts","DS04.prompt","Need at least 10 units. A gives 6 for $4, B gives 5 for $4, C gives 4 for $3. Cheapest mix?","question_bank","localized_question_bank","yes","options: A: A + B | B: B + B | C: A + C | D: C + C + C"
"iq-q-DS04-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","DS04.explanation","A + C gives exactly 10 units for $7, which is cheaper than the other valid choices.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-AR05","Question bank","lib/cognitiveAssessmentQuestions.ts","AR05.prompt","Which option completes the matrix?","question_bank","localized_question_bank","yes","options: A: Large square border with inner star | B: Large circle border with inner star | C: Small square border with inner star | D: Large square border with inner dot"
"iq-q-AR05-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","AR05.visual","Rule-combination matrix / Combine outer shape, inner mark, and size progression.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-AR05-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","AR05.explanation","In each row, the third tile combines the outer border from tile one with the inner mark from tile two; size increases down the grid.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-NL05","Question bank","lib/cognitiveAssessmentQuestions.ts","NL05.prompt","Find the next number: 12, 18, 27, 41, 62, ?","question_bank","localized_question_bank","yes","options: A: 83 | B: 92 | C: 94 | D: 98"
"iq-q-NL05-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","NL05.explanation","The gaps are +6, +9, +14, +21. Second-level gaps are +3, +5, +7, so the next is +9. Add 30 to get 92.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-SP05","Question bank","lib/cognitiveAssessmentQuestions.ts","SP05.prompt","Which cube can be the same cube after rotation?","question_bank","localized_question_bank","yes","options: A: Mirror order of marked faces | B: Opposite faces become adjacent | C: Same adjacency and clockwise order | D: One symbol changes face"
"iq-q-SP05-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","SP05.visual","Rotated marked cube / Track adjacency and clockwise face order.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-SP05-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","SP05.explanation","The correct option preserves which marked faces are adjacent and in what clockwise order.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-VR05","Question bank","lib/cognitiveAssessmentQuestions.ts","VR05.prompt","Only daxes are zems. No daxes are pons. Some rils are daxes. Which must be true?","question_bank","localized_question_bank","yes","options: A: Some rils are not pons. | B: All zems are daxes. | C: Some pons are zems. | D: No rils are zems."
"iq-q-VR05-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","VR05.explanation","Some rils are daxes, and no daxes are pons, so those rils are not pons.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-DS05","Question bank","lib/cognitiveAssessmentQuestions.ts","DS05.prompt","You have 6 min. M = 9 pts/4 min, N = 7 pts/3 min, P = 5 pts/2 min. Best set?","question_bank","localized_question_bank","yes","options: A: M only | B: N + P | C: M + P | D: N only"
"iq-q-DS05-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","DS05.explanation","M + P fits exactly in 6 minutes and yields 14 points, the highest feasible total.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-AR06","Question bank","lib/cognitiveAssessmentQuestions.ts","AR06.prompt","Which option completes the matrix?","question_bank","localized_question_bank","yes","options: A: Three vertical bars with normal fill | B: Two horizontal bars with reversed fill | C: Three horizontal bars with reversed fill | D: Three diagonal bars with reversed fill"
"iq-q-AR06-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","AR06.visual","Three-rule matrix / Track count, direction, and fill reversal together.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-AR06-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","AR06.explanation","Element count grows, direction changes by column, and the last column reverses the fill pattern.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-NL06","Question bank","lib/cognitiveAssessmentQuestions.ts","NL06.prompt","If A:B = 3:4 and B:C = 2:5, then A:C = ?","question_bank","localized_question_bank","yes","options: A: 3:8 | B: 3:10 | C: 4:9 | D: 5:12"
"iq-q-NL06-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","NL06.explanation","Match B with a common value: 3:4 becomes 6:8 and 2:5 becomes 8:20, so A:C = 6:20 = 3:10.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-SP06","Question bank","lib/cognitiveAssessmentQuestions.ts","SP06.prompt","Which net can fold into one closed cube?","question_bank","localized_question_bank","yes","options: A: Overlaps when folded | B: Valid non-overlapping cube net | C: Leaves a missing face gap | D: Duplicates an opposite-face position"
"iq-q-SP06-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","SP06.visual","Valid cube net / Check whether six faces fold into one closed cube.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-SP06-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","SP06.explanation","A valid cube net must fold without overlap and must place each face once.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-VR06","Question bank","lib/cognitiveAssessmentQuestions.ts","VR06.prompt","All ferns are plins. No plins are kets. Some dravs are ferns. Which must be true?","question_bank","localized_question_bank","yes","options: A: Some dravs are not kets. | B: All dravs are plins. | C: No dravs are plins. | D: Some kets are dravs."
"iq-q-VR06-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","VR06.explanation","Some dravs are ferns, all ferns are plins, and no plins are kets. Therefore those dravs are not kets.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-DS06","Question bank","lib/cognitiveAssessmentQuestions.ts","DS06.prompt","Budget 11. X costs 6 gives 9 pts; Y costs 5 gives 7; Z costs 4 gives 6. Best combo?","question_bank","localized_question_bank","yes","options: A: X + Y | B: X + Z | C: Y + Z | D: X only"
"iq-q-DS06-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","DS06.explanation","X + Y costs 11 and gives 16 points, which beats every other feasible option.","question_bank","dictionary","yes","Post-answer copy if surfaced"
